Word,ipa,Iconicity,phon_pred,sem_pred,comb_pred,pred_diff,Conc.M
shh,ʃ,0.9,0.667,0.624,0.697,0.043,
booth,buθ,0.35,0.641,0.764,0.675,-0.122,0.855
puke,puk,0.742,0.634,0.721,0.659,-0.088,0.898
blue,blu,0.55,0.615,0.508,0.653,0.107,0.69
squeak,skwik,0.967,0.595,0.646,0.652,-0.05,0.768
hoop,hup,0.611,0.64,0.744,0.65,-0.104,0.935
loop,lup,0.783,0.615,0.577,0.648,0.039,0.815
clue,klu,0.208,0.634,0.627,0.648,0.007,0.483
who,hu,0.433,0.641,0.763,0.645,-0.123,0.185
gloom,ɡlum,0.867,0.622,0.562,0.642,0.06,0.215
goose,ɡus,0.583,0.612,0.583,0.641,0.029,0.952
coo,ku,0.667,0.631,0.726,0.639,-0.095,
ghoul,ɡul,0.667,0.634,0.768,0.639,-0.134,0.425
pool,pul,0.567,0.615,0.612,0.639,0.003,0.942
soothe,suð,0.792,0.62,0.605,0.638,0.015,0.285
spook,spuk,0.783,0.619,0.727,0.638,-0.108,0.535
coup,ku,0.4,0.631,0.609,0.637,0.021,0.5
whose,huz,0.227,0.618,0.71,0.637,-0.091,0.17
sooth,suθ,0.727,0.621,0.783,0.636,-0.162,0.277
pooch,put͡ʃ,0.517,0.62,0.837,0.635,-0.217,0.83
coop,kup,0.5,0.634,0.783,0.631,-0.149,0.865
swoop,swup,0.817,0.594,0.574,0.629,0.02,0.548
goo,ɡu,0.9,0.63,0.667,0.629,-0.038,0.635
scoot,skut,0.833,0.589,0.647,0.628,-0.058,0.473
groove,ɡɹuv,0.733,0.588,0.655,0.628,-0.066,0.698
heath,hiθ,0.15,0.617,0.618,0.627,-0.001,
goo-goo,ɡu-ɡu,0.9,0.63,0.644,0.626,-0.015,
hooch,hut͡ʃ,0.621,0.645,0.706,0.625,-0.061,0.805
whoosh,wuʃ,0.95,0.609,0.74,0.625,-0.131,0.41
poop,pup,0.667,0.614,0.683,0.625,-0.068,0.958
fluke,fluk,0.567,0.617,0.741,0.625,-0.123,0.335
peek,pik,0.767,0.583,0.649,0.624,-0.066,0.655
shoo,ʃu,0.8,0.616,0.669,0.624,-0.052,
threw,θɹu,0.583,0.605,0.717,0.623,-0.112,0.642
