Word,ipa,Iconicity,phon_pred,sem_pred,comb_pred,pred_diff,Conc.M
shh,ʃ,0.9,0.667,0.624,0.697,0.043,
hooch,hut͡ʃ,0.621,0.645,0.706,0.625,-0.061,0.805
booth,buθ,0.35,0.641,0.764,0.675,-0.122,0.855
who,hu,0.433,0.641,0.763,0.645,-0.123,0.185
hoop,hup,0.611,0.64,0.744,0.65,-0.104,0.935
clue,klu,0.208,0.634,0.627,0.648,0.007,0.483
cool,kul,0.717,0.634,0.731,0.619,-0.097,0.632
glue,ɡlu,0.6,0.634,0.669,0.62,-0.036,0.913
ghoul,ɡul,0.667,0.634,0.768,0.639,-0.134,0.425
coop,kup,0.5,0.634,0.783,0.631,-0.149,0.865
puke,puk,0.742,0.634,0.721,0.659,-0.088,0.898
coup,ku,0.4,0.631,0.609,0.637,0.021,0.5
coo,ku,0.667,0.631,0.726,0.639,-0.095,
goo,ɡu,0.9,0.63,0.667,0.629,-0.038,0.635
goo-goo,ɡu-ɡu,0.9,0.63,0.644,0.626,-0.015,
whom,hum,0.53,0.622,0.658,0.622,-0.036,0.232
phlegm,flɡm,0.708,0.622,0.641,0.6,-0.019,0.87
gloom,ɡlum,0.867,0.622,0.562,0.642,0.06,0.215
sooth,suθ,0.727,0.621,0.783,0.636,-0.162,0.277
soothe,suð,0.792,0.62,0.605,0.638,0.015,0.285
pooch,put͡ʃ,0.517,0.62,0.837,0.635,-0.217,0.83
school,skul,0.5,0.62,0.668,0.606,-0.048,0.948
spook,spuk,0.783,0.619,0.727,0.638,-0.108,0.535
scoop,skup,0.7,0.619,0.672,0.619,-0.053,0.788
whose,huz,0.227,0.618,0.71,0.637,-0.091,0.17
fluke,fluk,0.567,0.617,0.741,0.625,-0.123,0.335
heath,hiθ,0.15,0.617,0.618,0.627,-0.001,
shoe,ʃu,0.383,0.616,0.689,0.621,-0.073,0.992
shoo,ʃu,0.8,0.616,0.669,0.624,-0.052,
hoof,huf,0.407,0.616,0.733,0.621,-0.117,0.972
loop,lup,0.783,0.615,0.577,0.648,0.039,0.815
pool,pul,0.567,0.615,0.612,0.639,0.003,0.942
